report_date,surprise_pct,volatility_change
2010-01-25,1,0
2010-04-20,1,1
2010-07-20,1,0
2010-10-18,1,0
2011-01-18,1,1
2011-04-20,1,0
2011-07-19,1,1
2011-10-18,0,0
2012-01-24,1,0
2012-04-24,1,0
2012-07-24,0,1
2012-10-25,0,0
2013-01-23,1,0
2013-04-23,1,0
2013-07-23,1,1
2013-10-28,1,1
2014-01-27,1,0
2014-04-23,1,1
2014-07-22,1,1
2014-10-20,1,0
2015-01-27,1,0
2015-04-27,1,1
2015-07-21,1,0
2015-10-27,1,0
2016-01-26,1,0
2016-04-26,0,1
2016-07-26,1,1
2016-10-25,1,1
2017-01-31,1,0
2017-05-02,1,1
2017-08-01,1,1
2017-11-02,1,0
2018-02-01,1,1
2018-05-01,1,0
2018-07-31,1,1
2018-11-01,1,1
2019-01-29,1,0
2019-04-30,1,1
2019-07-30,1,1
2019-10-30,1,0
2020-01-28,1,1
2020-04-30,1,0
2020-07-30,1,1
2020-10-29,1,1
2021-01-27,1,0
2021-04-28,1,1
2021-07-27,1,0
2021-10-28,1,1
2022-01-27,1,1
2022-04-28,1,1
2022-07-28,1,0
2022-10-27,1,1
2023-02-02,0,1
2023-05-04,1,0
2023-08-03,1,1
2023-11-02,1,0
2024-02-01,1,0
2024-05-02,1,0
2024-08-01,1,1
2024-10-31,1,0
